Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,057
AR,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,052
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,05
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,044
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,11-15,E,12-14,NO,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,041
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,034
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,028
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0094
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,023
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0077
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0069
